fecha,linea,cantidad
1 January 2014,PRODUCTO A,7.00
2 January 2014,PRODUCTO A,57.00
3 January 2014,PRODUCTO A,67.00
4 January 2014,PRODUCTO A,17.00
5 January 2014,PRODUCTO A,6.00
6 January 2014,PRODUCTO A,64.00
7 January 2014,PRODUCTO A,35.00
8 January 2014,PRODUCTO A,45.00
9 January 2014,PRODUCTO A,27.00
10 January 2014,PRODUCTO A,59.00
11 January 2014,PRODUCTO A,21.00
12 January 2014,PRODUCTO A,27.00
13 January 2014,PRODUCTO A,60.00
14 January 2014,PRODUCTO A,67.00
15 January 2014,PRODUCTO A,53.00
16 January 2014,PRODUCTO A,59.00
17 January 2014,PRODUCTO A,43.00
18 January 2014,PRODUCTO A,13.00
19 January 2014,PRODUCTO A,8.00
20 January 2014,PRODUCTO A,75.00
21 January 2014,PRODUCTO A,57.00
22 January 2014,PRODUCTO A,33.00
23 January 2014,PRODUCTO A,32.00
24 January 2014,PRODUCTO A,36.00
25 January 2014,PRODUCTO A,16.00
26 January 2014,PRODUCTO A,27.00
27 January 2014,PRODUCTO A,60.00
28 January 2014,PRODUCTO A,34.00
29 January 2014,PRODUCTO A,95.00
30 January 2014,PRODUCTO A,38.00
31 January 2014,PRODUCTO A,42.00
1 February 2014,PRODUCTO A,7.00
2 February 2014,PRODUCTO A,9.00
3 February 2014,PRODUCTO A,59.00
4 February 2014,PRODUCTO A,53.00
5 February 2014,PRODUCTO A,32.00
6 February 2014,PRODUCTO A,34.00
7 February 2014,PRODUCTO A,55.00
8 February 2014,PRODUCTO A,21.00
9 February 2014,PRODUCTO A,3.00
10 February 2014,PRODUCTO A,31.00
11 February 2014,PRODUCTO A,27.00
12 February 2014,PRODUCTO A,17.00
13 February 2014,PRODUCTO A,31.00
14 February 2014,PRODUCTO A,45.00
15 February 2014,PRODUCTO A,15.00
16 February 2014,PRODUCTO A,5.00
17 February 2014,PRODUCTO A,50.00
18 February 2014,PRODUCTO A,26.00
19 February 2014,PRODUCTO A,58.00
20 February 2014,PRODUCTO A,38.00
21 February 2014,PRODUCTO A,24.00
22 February 2014,PRODUCTO A,15.00
23 February 2014,PRODUCTO A,7.00
24 February 2014,PRODUCTO A,35.00
25 February 2014,PRODUCTO A,37.00
26 February 2014,PRODUCTO A,33.00
27 February 2014,PRODUCTO A,89.00
28 February 2014,PRODUCTO A,81.00
1 March 2014,PRODUCTO A,15.00
2 March 2014,PRODUCTO A,24.00
3 March 2014,PRODUCTO A,56.00
4 March 2014,PRODUCTO A,48.00
5 March 2014,PRODUCTO A,50.00
6 March 2014,PRODUCTO A,49.00
7 March 2014,PRODUCTO A,51.00
8 March 2014,PRODUCTO A,24.00
9 March 2014,PRODUCTO A,12.00
10 March 2014,PRODUCTO A,99.00
11 March 2014,PRODUCTO A,96.00
12 March 2014,PRODUCTO A,101.00
13 March 2014,PRODUCTO A,54.00
14 March 2014,PRODUCTO A,87.00
15 March 2014,PRODUCTO A,41.00
16 March 2014,PRODUCTO A,11.00
17 March 2014,PRODUCTO A,61.00
18 March 2014,PRODUCTO A,58.00
19 March 2014,PRODUCTO A,63.00
20 March 2014,PRODUCTO A,75.00
21 March 2014,PRODUCTO A,71.00
22 March 2014,PRODUCTO A,28.00
23 March 2014,PRODUCTO A,8.00
