Date;Year;Month;Day;Weekday;Holiday
1/1/12;2012;1;1;Sunday;Anho Nuevo
1/3/12;2012;3;1;Thursday;Dia de los Heroes de la Patria
5/4/12;2012;4;5;Thursday;Jueves Santo (Semana Santa)
6/4/12;2012;4;6;Friday;Viernes Santo (Semana Santa)
8/4/12;2012;4;8;Sunday;Domingo de Resurreccion (Semana Santa)
1/5/12;2012;5;1;Tuesday;Dia de los Trabajadores
15/5/12;2012;5;15;Tuesday;Dia de la Independencia Nacional
12/6/12;2012;6;12;Tuesday;Dia de la Paz del Chaco
15/8/12;2012;8;15;Wednesday;Dia de la Fundacion de Asuncion
29/9/12;2012;9;29;Saturday;Batalla de Boqueron
8/12/12;2012;12;8;Saturday;Dia de la Virgen de Caacupe
25/12/12;2012;12;25;Tuesday;Navidad
1/1/13;2013;1;1;Tuesday;Anho Nuevo
1/3/13;2013;3;1;Friday;Dia de los Heroes de la Patria
28/3/13;2013;3;28;Thursday;Jueves Santo (Semana Santa)
29/3/13;2013;3;29;Friday;Viernes Santo (Semana Santa)
31/3/13;2013;3;31;Sunday;Domingo de Resurreccion (Semana Santa)
1/5/13;2013;5;1;Wednesday;Dia de los Trabajadores
15/5/13;2013;5;15;Wednesday;Dia de la Independencia Nacional
12/6/13;2013;6;12;Wednesday;Dia de la Paz del Chaco
15/8/13;2013;8;15;Thursday;Dia de la Fundacion de Asuncion
29/9/13;2013;9;29;Sunday;Batalla de Boqueron
8/12/13;2013;12;8;Sunday;Dia de la Virgen de Caacupe
25/12/13;2013;12;25;Wednesday;Navidad
1/1/14;2014;1;1;Wednesday;Anho Nuevo
1/3/14;2014;3;1;Saturday;Dia de los Heroes de la Patria
17/4/14;2014;4;17;Thursday;Jueves Santo (Semana Santa)
18/4/14;2014;4;18;Friday;Viernes Santo (Semana Santa)
20/4/14;2014;4;20;Sunday;Domingo de Resurreccion (Semana Santa)
1/5/14;2014;5;1;Thursday;Dia de los Trabajadores
15/5/14;2014;5;15;Thursday;Dia de la Independencia Nacional
12/6/14;2014;6;12;Thursday;Dia de la Paz del Chaco
15/8/14;2014;8;15;Friday;Dia de la Fundacion de Asuncion
29/9/14;2014;9;29;Monday;Batalla de Boqueron
8/12/14;2014;12;8;Monday;Dia de la Virgen de Caacupe
25/12/14;2014;12;25;Thursday;Navidad
1/1/15;2015;1;1;Thursday;Anho Nuevo
1/3/15;2015;3;1;Sunday;Dia de los Heroes de la Patria
2/4/15;2015;4;2;Thursday;Jueves Santo (Semana Santa)
3/4/15;2015;4;3;Friday;Viernes Santo (Semana Santa)
5/4/15;2015;4;5;Sunday;Domingo de Resurreccion (Semana Santa)
1/5/15;2015;5;1;Friday;Dia de los Trabajadores
15/5/15;2015;5;15;Friday;Dia de la Independencia Nacional
12/6/15;2015;6;12;Friday;Dia de la Paz del Chaco
15/8/15;2015;8;15;Saturday;Dia de la Fundacion de Asuncion
29/9/15;2015;9;29;Tuesday;Batalla de Boqueron
8/12/15;2015;12;8;Tuesday;Dia de la Virgen de Caacupe
25/12/15;2015;12;25;Friday;Navidad
1/1/16;2016;1;1;Friday;Anho Nuevo
1/3/16;2016;3;1;Tuesday;Dia de los Heroes de la Patria
24/3/16;2016;3;24;Thursday;Jueves Santo (Semana Santa)
25/3/16;2016;3;25;Friday;Viernes Santo (Semana Santa)
27/3/16;2016;3;27;Sunday;Domingo de Resurreccion (Semana Santa)
