date,time,apparentTemperature,cloudCover,dewPoint,humidity,precipProbability,precipIntensity,temperature,uvIndex,visibility,windBearing,windSpeed,timestamp
2014-01-01,2014-01-01T12:00:00,32.72,1.0,22.98,0.7,0,0,28.98,5,10.01,50,5.15,1388588400
2014-01-02,2014-01-02T12:00:00,42.04,0.44,21.97,0.42,0,0,36.97,9,10.01,341,7.2,1388674800
2014-01-03,2014-01-03T12:00:00,25.84,0.75,22.99,0.89,0,0,24.97,7,10.01,150,4.63,1388761200
2014-01-04,2014-01-04T12:00:00,30.11,0.75,20.99,0.66,0,0,27.98,7,10.01,170,4.63,1388847600
2014-01-05,2014-01-05T12:00:00,37.88,0.75,23.97,0.63,0,0,31.98,7,10.01,50,4.12,1388934000
2014-01-06,2014-01-06T12:00:00,40.61,0.75,22.96,0.5,0,0,34.98,7,10.01,11,3.6,1389020400
2014-01-07,2014-01-07T12:00:00,40.61,0.44,22.96,0.5,0,0,34.98,9,10.01,350,7.2,1389106800
2014-01-08,2014-01-08T12:00:00,29.16,0.75,21.99,0.74,0,0,26.97,7,10.01,,0.0,1389193200
2014-01-09,2014-01-09T12:00:00,40.53,0.75,23.97,0.56,0,0,33.96,7,10.01,11,4.63,1389279600
2014-01-10,2014-01-10T12:00:00,39.51,0.44,21.97,0.47,0,0,34.98,9,10.01,0,7.71,1389366000
2014-01-11,2014-01-11T12:00:00,41.91,0.75,22.96,0.47,0,0,35.99,7,10.01,320,4.12,1389452400
2014-01-12,2014-01-12T12:00:00,30.11,0.75,20.99,0.66,0,0,27.98,7,10.01,200,4.12,1389538800
2014-01-13,2014-01-13T12:00:00,33.01,0.75,19.98,0.52,0,0,30.98,7,10.01,240,2.06,1389625200
2014-01-14,2014-01-14T12:00:00,36.11,0.19,20.98,0.49,0,0,32.98,10,10.01,20,4.63,1389711600
2014-01-15,2014-01-15T12:00:00,38.05,0.19,22.97,0.56,0,0,32.98,10,10.01,341,3.6,1389798000
2014-01-16,2014-01-16T12:00:00,36.76,0.75,22.97,0.59,0,0,31.98,7,10.01,0,1.55,1389884400
2014-01-17,2014-01-17T12:00:00,39.3,0.44,22.96,0.53,0,0,33.96,9,10.01,30,4.12,1389970800
2014-01-18,2014-01-18T12:00:00,39.51,0.44,21.97,0.47,0,0,34.98,9,10.01,41,4.12,1390057200
2014-01-19,2014-01-19T12:00:00,40.79,0.44,21.97,0.44,0,0,35.99,9,10.01,11,5.66,1390143600
2014-01-20,2014-01-20T12:00:00,39.3,0.75,22.96,0.53,0,0,33.96,7,10.01,20,4.12,1390230000
2014-01-21,2014-01-21T12:00:00,40.61,0.44,22.96,0.5,0,0,34.98,9,10.01,0,5.66,1390316400
2014-01-22,2014-01-22T12:00:00,40.79,0.44,21.97,0.44,0,0,35.99,9,10.01,0,5.15,1390402800
2014-01-23,2014-01-23T12:00:00,39.3,0.75,22.96,0.53,0,0,33.96,6,10.01,11,7.71,1390489200
2014-01-24,2014-01-24T12:00:00,39.51,0.44,21.97,0.47,0,0,34.98,8,10.01,11,6.18,1390575600
2014-01-25,2014-01-25T12:00:00,29.57,1.0,22.98,0.79,,,26.97,5,10.01,120,2.6,1390662000
2014-01-26,2014-01-26T12:00:00,33.27,0.75,21.99,0.62,0,0,29.97,6,10.01,20,3.09,1390748400
2014-01-27,2014-01-27T12:00:00,35.78,0.44,21.98,0.56,0,0,31.98,8,10.01,30,6.18,1390834800
2014-01-28,2014-01-28T12:00:00,37.66,0.44,19.97,0.42,0,0,34.98,8,10.01,0,6.69,1390921200
2014-01-29,2014-01-29T12:00:00,36.16,0.38,18.57,0.39,,,34.57,9,,320,3.6,1391007600
2014-01-30,2014-01-30T12:00:00,38.12,0.44,18.96,0.37,0,0,35.99,8,10.01,11,4.63,1391094000
2014-01-31,2014-01-31T12:00:00,38.12,0.19,18.96,0.37,0,0,35.99,10,10.01,11,5.15,1391180400
2014-02-01,2014-02-01T12:00:00,41.01,0.19,20.96,0.4,0,0,36.97,10,10.01,0,5.15,1391266800
2014-02-02,2014-02-02T12:00:00,39.3,0.44,18.96,0.35,0,0,36.97,8,10.01,0,7.2,1391353200
2014-02-03,2014-02-03T12:00:00,41.01,0.44,20.96,0.4,0,0,36.97,8,10.01,0,6.18,1391439600
2014-02-04,2014-02-04T12:00:00,38.9,0.19,19.96,0.39,0,0,35.99,10,10.01,350,6.18,1391526000
2014-02-05,2014-02-05T12:00:00,38.12,,18.96,0.37,0,0,35.99,,9.99,0,6.69,1391612400
2014-02-06,2014-02-06T12:00:00,38.12,0.44,18.96,0.37,0,0,35.99,8,10.01,0,5.15,1391698800
2014-02-07,2014-02-07T12:00:00,41.35,0.19,19.96,0.35,0,0,37.97,10,10.01,11,4.12,1391785200
2014-02-08,2014-02-08T12:00:00,40.1,,19.96,0.37,0,0,36.97,,9.99,350,3.09,1391871600
2014-02-09,2014-02-09T12:00:00,38.12,0.75,18.96,0.37,0,0,35.99,6,10.01,0,2.57,1391958000
2014-02-10,2014-02-10T12:00:00,37.66,0.13,19.97,0.42,0,0,34.98,10,9.99,41,4.12,1392044400
2014-02-11,2014-02-11T12:00:00,40.1,0.19,19.96,0.37,0,0,36.97,10,10.01,320,2.57,1392130800
2014-02-12,2014-02-12T12:00:00,38.9,0.19,19.96,0.39,,,35.99,10,10.01,41,4.12,1392217200
2014-02-13,2014-02-13T12:00:00,27.95,1,23.99,0.89,0,0,25.98,5,10.01,281,2.06,1392303600
